# Ubmax_nK Ubmax_SEU Critical_Omega_R
34.8600 330.2911 0.4900
34.9000 330.6701 0.4900
34.9400 331.0491 0.4900
34.9800 331.4281 0.4900
35.0200 331.8071 0.4800
35.0600 332.1860 0.4800
35.1000 332.5650 0.4800
35.1400 332.9440 0.4800
35.1800 333.3230 0.4800
35.2200 333.7020 0.4800
35.2600 334.0810 0.4800
35.3000 334.4600 0.4800
35.3400 334.8390 0.4800
35.3800 335.2180 0.4800
35.4200 335.5970 0.4800
35.4600 335.9760 0.4700
35.5000 336.3550 0.4700
35.5400 336.7339 0.4700
35.5800 337.1129 0.4700
35.6200 337.4919 0.4700
35.6600 337.8709 0.4700
35.7000 338.2499 0.4700
35.7400 338.6289 0.4600
35.7800 339.0079 0.4600
35.8200 339.3869 0.4500
35.8600 339.7659 0.4500
35.9000 340.1449 0.4500
35.9400 340.5239 0.4500
35.9800 340.9028 0.4500
36.0200 341.2818 0.4500
36.0600 341.6608 0.4500
36.1000 342.0398 0.4400
36.1400 342.4188 0.4400
36.1800 342.7978 0.4400
36.2200 343.1768 0.4400
36.2600 343.5558 0.4400
36.3000 343.9348 0.4400
36.3400 344.3138 0.4400
36.3800 344.6928 0.4400
36.4200 345.0718 0.4400
36.4600 345.4507 0.4400
36.5000 345.8297 0.4400
36.5400 346.2087 0.4400
36.5800 346.5877 0.4300
36.6200 346.9667 0.4300
36.6600 347.3457 0.4300
36.7000 347.7247 0.4300
36.7400 348.1037 0.4300
36.7800 348.4827 0.4300
